province_id,province_name,division_id,division_name
24,Quebec / Québec,2440,Les Sources
24,Quebec / Québec,2402,Le Rocher-Percé
24,Quebec / Québec,2428,Les Etchemins
24,Quebec / Québec,2412,Rivière-du-Loup
24,Quebec / Québec,2454,Les Maskoutains
24,Quebec / Québec,2457,La Vallée-du-Richelieu
24,Quebec / Québec,2405,Bonaventure
24,Quebec / Québec,2493,Lac-Saint-Jean-Est
12,Nova Scotia / Nouvelle-Écosse,1204,Queens
24,Quebec / Québec,2445,Memphrémagog
24,Quebec / Québec,2444,Coaticook
24,Quebec / Québec,2423,Québec
13,New Brunswick / Nouveau-Brunswick,1308,Kent
12,Nova Scotia / Nouvelle-Écosse,1208,Hants
24,Quebec / Québec,2455,Rouville
24,Quebec / Québec,2419,Bellechasse
13,New Brunswick / Nouveau-Brunswick,1306,Albert
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1007,Division No.  7
13,New Brunswick / Nouveau-Brunswick,1309,Northumberland
24,Quebec / Québec,2410,Rimouski-Neigette
24,Quebec / Québec,2429,Beauce-Sartigan
13,New Brunswick / Nouveau-Brunswick,1304,Queens
24,Quebec / Québec,2442,Le Val-Saint-François
24,Quebec / Québec,2409,La Mitis
24,Quebec / Québec,2448,Acton
12,Nova Scotia / Nouvelle-Écosse,1205,Annapolis
24,Quebec / Québec,2450,Nicolet-Yamaska
24,Quebec / Québec,2451,Maskinongé
24,Quebec / Québec,2453,Pierre-De Saurel
24,Quebec / Québec,2421,La Côte-de-Beaupré
24,Quebec / Québec,2416,Charlevoix
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1005,Division No.  5
13,New Brunswick / Nouveau-Brunswick,1301,Saint John
24,Quebec / Québec,2456,Le Haut-Richelieu
24,Quebec / Québec,2407,La Matapédia
24,Quebec / Québec,2418,Montmagny
11,Prince Edward Island / Île-du-Prince-Édouard,1101,Kings
24,Quebec / Québec,2403,La Côte-de-Gaspé
24,Quebec / Québec,2449,Drummond
12,Nova Scotia / Nouvelle-Écosse,1206,Lunenburg
13,New Brunswick / Nouveau-Brunswick,1315,Gloucester
24,Quebec / Québec,2443,Sherbrooke
24,Quebec / Québec,2433,Lotbinière
12,Nova Scotia / Nouvelle-Écosse,1214,Antigonish
24,Quebec / Québec,2446,Brome-Missisquoi
24,Quebec / Québec,2458,Longueuil
24,Quebec / Québec,2495,La Haute-Côte-Nord
12,Nova Scotia / Nouvelle-Écosse,1213,Guysborough
24,Quebec / Québec,2434,Portneuf
13,New Brunswick / Nouveau-Brunswick,1303,Sunbury
24,Quebec / Québec,2430,Le Granit
24,Quebec / Québec,2452,D'Autray
11,Prince Edward Island / Île-du-Prince-Édouard,1102,Queens
13,New Brunswick / Nouveau-Brunswick,1302,Charlotte
24,Quebec / Québec,2438,Bécancour
24,Quebec / Québec,2401,Les Îles-de-la-Madeleine
24,Quebec / Québec,2460,L'Assomption
12,Nova Scotia / Nouvelle-Écosse,1202,Yarmouth
12,Nova Scotia / Nouvelle-Écosse,1218,Victoria
12,Nova Scotia / Nouvelle-Écosse,1209,Halifax
24,Quebec / Québec,2406,Avignon
24,Quebec / Québec,2439,Arthabaska
24,Quebec / Québec,2427,Robert-Cliche
24,Quebec / Québec,2426,La Nouvelle-Beauce
13,New Brunswick / Nouveau-Brunswick,1310,York
13,New Brunswick / Nouveau-Brunswick,1311,Carleton
24,Quebec / Québec,2425,Lévis
13,New Brunswick / Nouveau-Brunswick,1314,Restigouche
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1002,Division No.  2
24,Quebec / Québec,2408,Matane
24,Quebec / Québec,2422,La Jacques-Cartier
24,Quebec / Québec,2459,Lajemmerais
24,Quebec / Québec,2411,Les Basques
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1011,Division No. 11
61,Northwest Territories / Territoires du Nord-Ouest,6103,Region 3
61,Northwest Territories / Territoires du Nord-Ouest,6101,Region 1
46,Manitoba,4613,Division No. 13
61,Northwest Territories / Territoires du Nord-Ouest,6104,Region 4
46,Manitoba,4619,Division No. 19
61,Northwest Territories / Territoires du Nord-Ouest,6106,Region 6
62,Nunavut,6205,Keewatin
46,Manitoba,4622,Division No. 22
46,Manitoba,4623,Division No. 23
46,Manitoba,4618,Division No. 18
46,Manitoba,4612,Division No. 12
61,Northwest Territories / Territoires du Nord-Ouest,6105,Region 5
61,Northwest Territories / Territoires du Nord-Ouest,6102,Region 2
60,Yukon,6001,Yukon
46,Manitoba,4602,Division No.  2
35,Ontario,3556,Cochrane
35,Ontario,3560,Kenora
24,Quebec / Québec,2468,Les Jardins-de-Napierville
24,Quebec / Québec,2492,Maria-Chapdelaine
24,Quebec / Québec,2490,La Tuque
24,Quebec / Québec,2461,Joliette
24,Quebec / Québec,2491,Le Domaine-du-Roy
24,Quebec / Québec,2462,Matawinie
24,Quebec / Québec,2435,Mékinac
24,Quebec / Québec,2465,Laval
24,Quebec / Québec,2467,Roussillon
62,Nunavut,6204,Baffin
35,Ontario,3558,Thunder Bay
24,Quebec / Québec,2499,Nord-du-Québec
24,Quebec / Québec,2466,Montréal
24,Quebec / Québec,2464,Les Moulins
24,Quebec / Québec,2463,Montcalm
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1010,Division No. 10
24,Quebec / Québec,2496,Manicouagan
10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1009,Division No.  9
24,Quebec / Québec,2498,Minganie--Le Golfe-du-Saint-Laurent
24,Quebec / Québec,2494,Le Saguenay-et-son-Fjord
24,Quebec / Québec,2497,Sept-Rivières--Caniapiscau
62,Nunavut,6208,Kitikmeot
