text,hashtags,placename
b'The meeting is running on time and exactly on schedule. #prideto https://t.co/f2haXIagKq',prideto,"Toronto, Ontario"
b'Guess who I ran into at Shacklands. Mr &amp; Mrs Drunk Polkaroo. Great to meet the both of you.\\u2026 https://t.co/OvlXWWazvG',,"Toronto, Ontario"
"b""Seriously, where was O'Korn throwing that ball?\\n\\n#MICHvsOSU #MichiganFootball""","MICHvsOSU,MichiganFootball","Toronto, Ontario"
b'@Tevengez kid prob get this once in a blue moon i get these every game',,"Toronto, Ontario"
"b'Asked earlier this week to provide critique, this health science trained, unrestrained eater honed in on \\u201cclean\\u201d ea\\u2026 https://t.co/6JnJiA6M5f'",,"Toronto, Ontario"
"b'Happy #nationalphilanthropyday! You help us build new parks, playgrounds, mazes, ball diamonds, trails, gardens, ou\\u2026 https://t.co/ARkwMmxnRP'",nationalphilanthropyday,"Toronto, Ontario"
b'Make it 25 games without a goal from their blue line. Both TBL goals were from defensemen. https://t.co/77UIOBEsxZ',,"Toronto, Ontario"
"b""Love that call to action Jack! Let's help each other. https://t.co/19MbJlzISR""",,"Toronto, Ontario"
"b'@anabel_jpg JSJSJDJF omg bb nO, but ur heart and ur boot are PHat thats all that matters'",,"Toronto, Ontario"
b'The problem with this logic is there are 5 other Western teams that are within 2 points of the wildcard and they AL\\u2026 https://t.co/19iSsJkzuH',,"Toronto, Ontario"
"b'Unfounded liabilities; WSIB Ontario and Federal pensions, what other undeclared debt? https://t.co/j0HJWslF3r'",,"Toronto, Ontario"
"b'Listen to #ambient #electronica legend #Roedelius @roedeliusmusic play #BrianEno\'s ""By This River"" and other #piano\\u2026 https://t.co/5dpokhSUsF'","ambient,electronica,Roedelius,BrianEno,piano","Toronto, Ontario"
"b""@TTChelps I wasn't waiting that long, but people around were saying how trains had been like that for 30 mins with\\u2026 https://t.co/j4vPyjTEPR""",,"Toronto, Ontario"
b'ooh bbbbbaby we could be super friends',,"Toronto, Ontario"
b'I\\u2019ve never been more disappointed with customer service from any company more than @merchology I\\u2019ve been held ranso\\u2026 https://t.co/Bm0oW3Uht5',,"Toronto, Ontario"
b'Smiles \\U0001f31d\\u2714 my NEW BB DUFFEL BAG CAME ....a huge shout out gymstar.ca for the crazy deals on Black\\u2026 https://t.co/O5ILUqZvWo',,"Toronto, Ontario"
"b""Sometimes I have moments when I feel bad for smoking weee but then other times I feel bad for people that don't lmao""",,"Toronto, Ontario"
"b""Sometimes I have moments when I feel bad for smoking weed but then other times I feel bad for people that don't lmao""",,"Toronto, Ontario"
b'Imagine being so indoctrinated by the patriarchy you need to run to the defence of a man WHO ADMITTED HIS GUILT. https://t.co/VMK0fInqzu',,"Toronto, Ontario"
"b'Nice #yoga routine feels great after the 6day #sfn17 marathon, though I probably spent a bit longer in ""corpse pose"" than usual \\U0001f634'","yoga,sfn17","Toronto, Ontario"
b'One word... C A R D I O\\U0001f64c\\U0001f3fc Decided to up the ante and start running again. I started nearly 6\\u2026 https://t.co/N8Q0cpIGEg',,"Toronto, Ontario"
"b'Yesterday, Dellen Millard cross examines his Uncle, Dr. Robert Burns at the #LauraBabcock murder trial. https://t.co/99RtkqUWx4'",LauraBabcock,"Toronto, Ontario"
"b'@moore_oliver Is this mostly condo bike storage areas? Lots of thievery happening there, from dedicated bike rooms and racks in garages.'",,"Toronto, Ontario"
b'Hey @TickPick any discount codes for a broke Aussie trying to  see as much hockey as possible in North America? Please and thank you.',,"Toronto, Ontario"
b'This is yet another false statement. You care. You care more about this than you care about sexual predators runnin\\u2026 https://t.co/045j5DtefV',,"Toronto, Ontario"
"b'I try so hard to provide healthy choices at events we run at @TWG - salads, veggies, sushi,etc. \\nNo matter what I d\\u2026 https://t.co/4dS8Zaeg5P'",,"Toronto, Ontario"
"b'@CynthiaInCali yeah. you had that rare beast, the american goalie tandem, going for a while'",,"Toronto, Ontario"
b'@ottawaleafsfan @RogersHelps  only I can think of is Sens are at home so they black out Leaf game',,"Toronto, Ontario"
"b'This is the week you get your job search game together! We host FREE Job Clubs, open to the public every Friday at\\u2026 https://t.co/AWd3896v1A'",,"Toronto, Ontario"
b'omg I hate when the train is empty and ppl wanna sit next to me like wtf b',,"Toronto, Ontario"
b'Please don\\u2019t send me posts blaming A &amp; M. I have empathy for others but don\\u2019t forget na mabigat din ang problema ng\\u2026 https://t.co/r50n2QnxkS',,"Toronto, Ontario"
"b'Happy Friday! \\U0001f495\\nAfter running around shopping all day, I needed a healthy boost of\\u2026 https://t.co/cQl5oftK2a'",,"Toronto, Ontario"
"b'Like stated before, people were long gone right from the first split second but other\\u2019s managed to drag them right\\u2026 https://t.co/D3tHk5Ztmq'",,"Toronto, Ontario"
b'Addressing urban equity + belonging will increase our collective safety. Detectors don\\u2019t address the root of fear.\\n\\nhttps://t.co/rRsLQo2m00',,"Toronto, Ontario"
b'It got dragged out of other\\u2019s by the end of the night. #OMMFG \\U0001f62e\\U0001f62e\\U0001f62e',OMMFG,"Toronto, Ontario"
"b'If I were to say that my ultimate style icon is Kate Monday from Mathnet, how many people would get that reference?\\u2026 https://t.co/fTwKuUn46z'",,"Toronto, Ontario"
b'You know you doing something when they hate for no reason &amp; people randomly messaging you giving you big ups\\U0001f937\\U0001f3fd\\u200d\\u2640\\ufe0f',,"Toronto, Ontario"
"b""Huskies volleyball return home to host the Loyalist Lancers at St. James tonight! Women's game gets underway at 6 p\\u2026 https://t.co/MAoF23BzCg""",,"Toronto, Ontario"
"b'Hook: a 2-parent home with a lovely mom. Dad misses baseball games but through a central act of redemption, wins ov\\u2026 https://t.co/dfApesWbMF'",,"Toronto, Ontario"
b'Despite being drafted 3rd overall he ranks 30th from his draft year in terms of points so far. https://t.co/qVjPHkjM6M',,"Toronto, Ontario"
"b""So I'm meeting some friends at a vegan restaurant and I just realized I'm sporting fur on my jacket's hood. And the\\u2026 https://t.co/zJLz8Ku3Ix""",,"Toronto, Ontario"
"b'Sort of like the BlueJays either off or road game for Victoria Day, Canada Day, August Civic Holiday. https://t.co/4ZSh5g9k2R'",,"Toronto, Ontario"
b'without fail my evening plans shift from going to the gym to eating chocolate in bed as soon as i walk through my f\\u2026 https://t.co/O0CUyEto5f',,"Toronto, Ontario"
b'TOMORROW - Free vinyl dance party downstairs put on by the @blackoakbrewing crew!!\\u2026 https://t.co/UD9qJDfduH',,"Toronto, Ontario"
"b""Santa's reindeers, ranked by likelihood of also being the name of an adult film star:\\n1. Vixen\\n2. Cupid\\n3. Comet\\n4.\\u2026 https://t.co/ZQdXKkB1BN""",,"Toronto, Ontario"
"b'#Repost gymstar.ca (get_repost)\\n\\u30fb\\u30fb\\u30fb\\nSuccess is a decision, made everyday. Choose to\\u2026 https://t.co/4eTOTmVD5R'",Repost,"Toronto, Ontario"
b'Fornite is such a fucking bad game because of the shields like omg they don\\u2019t die',,"Toronto, Ontario"
b'have to get a translator for when my other half be getting mad n shit cause she\\u2019s spanish idk\\u2026 https://t.co/dsVUCjalRF',,"Toronto, Ontario"
"b'Expert panel on Planes, [hyper sonic] trains, and [self-driving] automobiles #AIWorldForum https://t.co/b8d6zmuzvi'",AIWorldForum,"Toronto, Ontario"
b'@mattbirchler Brutal stuff. The 10th room is the real killer. Woeuf.',,"Toronto, Ontario"
b'@RealJoviVal @Wiininiskwe The Spanish Inquisition and Salem witch trials put a lot of innocent people to death and\\u2026 https://t.co/5wAjmJlvoH',,"Toronto, Ontario"
b'Canadian Islamic cleric @TahirulQadri runs a political party in Pakistan and is again stirring the blasphemy pot in\\u2026 https://t.co/w49vBJLaP4',,"Toronto, Ontario"
b'@TheFordFANatic Heading down for a @TorontoMarlies game @AirCanada Never been to a @MapleLeafs game #FansGoFurther\\u2026 https://t.co/2jnhkoVP8f',FansGoFurther,"Toronto, Ontario"
b'All my hoes all trained I make all of them swallow',,"Toronto, Ontario"
b'Great message for girls and sports. https://t.co/PJepA7G3V8',,"Toronto, Ontario"
b'Redemption Rankings:\\n1. Jordan\\n2. Lindsey\\n3/4. Frankie/Drew\\n\\nFreestyle rankings:\\n1. Lindsey\\n2. Drew\\n3. Jordan\\n4. Frankie',,"Toronto, Ontario"
b'@CoachSark get the ball to Julio he\\u2019s the best wr in the nfl',,"Toronto, Ontario"
"b""@cashmeretitty i'm white all i know how to do is steal from other ppl what do you expect \\U0001f624\\u270c\\U0001f3fb\\u270c\\U0001f3fb""",,"Toronto, Ontario"
b'you know what i love? having to do an essay with your brother in the next room making mad noises while playing his video games. #mylife',mylife,"Toronto, Ontario"
b'This Matthews special on sportsnet doe',,"Toronto, Ontario"
"b'I don\'t get where people are on the Leafs for ""60 mins"" of hockey... had 1 PP all game... gave up 2 PP goals... the\\u2026 https://t.co/1EoF0WPxLh'",,"Toronto, Ontario"
b'You already know Firmino a killer for this one https://t.co/Dg8KqXXLFk',,"Toronto, Ontario"
b'@Chantepoule What is wrong with the other four fifths?',,"Toronto, Ontario"
b'Team Two in the Endeavour Zone is ready for liftoff! These Grade 10 students are designing new tools &amp; spaces for a\\u2026 https://t.co/5uGqAAZHSe',,"Toronto, Ontario"
"b'@ariellec Completely as an aside, the first international game I ever covered was on PEI \\u2014 Canada u19 women v Mexic\\u2026 https://t.co/siDyHEli9h'",,"Toronto, Ontario"
b'#Innovation is a series of steps that leads to game changers... put yourself among innovators and their environment. @GoConex #OCADInnovates',"Innovation,OCADInnovates","Toronto, Ontario"
"b'@goji_guy I only use it when talking about footage. ""Okay, gonna sit down and get some gameplay footage for our tra\\u2026 https://t.co/DfFjfyluL2'",,"Toronto, Ontario"
b'A few pics I was able to get towards the end of the game last night when @torontofc started their celebrations.. on\\u2026 https://t.co/VyZhxYXve2',,"Toronto, Ontario"
b'I bet there will be a suicide attack by Isis! AKA Ghani government! https://t.co/kOyPMLRmd9',,"Toronto, Ontario"
"b'The proposal for time-based transfers submitted by mayor John Tory, TTC chair Josh Colle and others, has been accep\\u2026 https://t.co/W0qeCDBG8Q'",,"Toronto, Ontario"
b'mans at the gym got the worst fake yeezys smh',,"Toronto, Ontario"
b'\\u201cLife is short and the impact we all can have is much greater when we are helping other.\\u201d\\u2026 https://t.co/CY4vFQlMWL',,"Toronto, Ontario"
"b""Ranking the 5 best moments from Matthews' first 100 NHL games\\nhttps://t.co/kN14NQfchf""",,"Toronto, Ontario"
b'Forever grateful for headphones blasting chewns in my ear holes so I don\\u2019t have to listen to other people\\u2019s gross l\\u2026 https://t.co/UTYRTGU4ic',,"Toronto, Ontario"
b'@punkwich Yeah. Currently:  dated someone and it was messy and people were mean to each other (Which you can tell b\\u2026 https://t.co/9KiV7wQ60E',,"Toronto, Ontario"
b'Gudas did not expect to be suspended 10 games \\nhttps://t.co/AZ5SeT1o4v',,"Toronto, Ontario"
b'Everyone told me otherwise yet I tore my Achilles two weeks before Sidney did and cannot run a sprint yet https://t.co/WjPY87pKSV',,"Toronto, Ontario"
"b""@criseyde 1st job was stocking shelves at a PEI IGA, boss refused to train me on cash &amp; I'm still a little salty about it to this day""",,"Toronto, Ontario"
b'@ItsSaraKatelyn It was actually a pretty good game. Just shitty result',,"Toronto, Ontario"
b'Supporting the tagline ALDUB PA RIN does not necessarily mean you are restraining them to grow as separate individu\\u2026 https://t.co/4icAIYfcdR',,"Toronto, Ontario"
b'Sometimes I just want to dance and play. Sometimes I want to get into some trouble. \\U0001f609\\u270c\\ufe0f @\\u2026 https://t.co/RLMD9ouAO2',,"Toronto, Ontario"
"b'What a day at the pool.  So proud of our Adrian!! @ Alderwood, Toronto https://t.co/e7r7D4ZFJm'",,"Toronto, Ontario"
b'@toojazzy25 \\u201cBTS\\u2019s success in the US market means different from other former Kpop artists who tried the field. Rat\\u2026 https://t.co/0yFY9TgVuk',,"Toronto, Ontario"
b'13 hours late for my morning workout but I made it',,"Toronto, Ontario"
b'@JoyOfCats see other patchy kitties do good and think of being helpful.. #justsaying https://t.co/BwdtMrZUUU',justsaying,"Toronto, Ontario"
"b""It doesn't happen in a vacuum ... this is the direction of hockey. https://t.co/kGKgjHTKZK""",,"Toronto, Ontario"
b'Gave the TEMPLE OF ELEMENTAL EVIL #boardgame by @wizkidsgames a go last night. Enjoyed it a lot! Love the random du\\u2026 https://t.co/pFLaiSGXBf',boardgame,"Toronto, Ontario"
b'@moberlynaturals @celenasbakery 1) LARGE americano (w/ almond milk)\\n2) A date square (for later of course)\\n3) Blueberry scone\\n\\n....close?!',,"Toronto, Ontario"
"b""@omgclassic It's so hard to choose! I'm torn by the beetle juice or the ninja turtles and I know you hiding that power rangers one on me!""",,"Toronto, Ontario"
"b'We\\u2019ve expanded! Specially designed to incorporate strength training equipment, our new STRENGTH\\u2026 https://t.co/YjgcUDqYwx'",,"Toronto, Ontario"
"b""Like, comment, follow me and share to empower others! Let's connect the world together. Love,\\u2026 https://t.co/liaOVzNmNO""",,"Toronto, Ontario"
"b""Like, comment, follow me and share to empower others! Let's connect the world together. Love,\\u2026 https://t.co/u7sFYLJQuA""",,"Toronto, Ontario"
"b""Like, comment, follow me and share to empower others! Let's connect the world together. Love,\\u2026 https://t.co/YLEwySiWGP""",,"Toronto, Ontario"
"b""Like, comment, follow me and share to empower others! Let's connect the world together. Love,\\u2026 https://t.co/jHOsZsaKjY""",,"Toronto, Ontario"
"b""#Repost gymstar.ca (get_repost)\\n\\u30fb\\u30fb\\u30fb\\nSunday mood = C H I L L \\U0001f60e\\U0001f604#\\n-\\nWhat's up for your Sunday? We\\u2026 https://t.co/NtbUYhkevl""",Repost,"Toronto, Ontario"
b'Canada Post trucks running all over town on a Sunday. Amazon?',,"Toronto, Ontario"
"b'@nytimes you make it unreasonably hard to cancel digital subscriptions. what are you, a fly-by-night gym?'",,"Toronto, Ontario"
b'Like what about those Black folk who try to classify the blackness level of other Black folk? And who really has th\\u2026 https://t.co/fnHzf5UmZs',,"Toronto, Ontario"
b'Like what about those Black folk who try to classify the blackness level of other Black folk? And who really has th\\u2026 https://t.co/2AUUhZOsSV',,"Toronto, Ontario"
b'@Layles89 @teopellizzeri @victorywleague @wswanderersfc @CallanMcDuff My first game too I think ! Absolute nightmare parts of it!',,"Toronto, Ontario"
b'My other new toy \\U0001f64a\\U0001f64a\\n#GiftsFromAProspect #FinDom #FemDom #PayPig #HumanATM #CashCow #DontMakeMeMadBitch https://t.co/8JUm3zTbsc',"GiftsFromAProspect,FinDom,FemDom,PayPig,HumanATM,CashCow,DontMakeMeMadBitch","Toronto, Ontario"
"b""I've got the #Pelican 1600 packed with underwater photography gear, ready for scuba trip to Honduras.\\u2026 https://t.co/A96VzoILaB""",Pelican,"Toronto, Ontario"
"b""Good teams win games they definitely shouldn't have won.""",,"Toronto, Ontario"
b'RIP to the best music festival ever and RIP to the dream of myself and countless other musicians to one day play th\\u2026 https://t.co/dOWVurvRHR',,"Toronto, Ontario"
"b""California shooting death toll reaches 5 as gunman's wife found dead hidden under floor. https://t.co/OAw4PFxqi1 https://t.co/hGboGsisYB""",,"Toronto, Ontario"
"b'A text from Schlatman July 23, 2012, from 9:34 a.m.\\n \\n""Eliminator is eliminating.""\\n \\nHe says he ran a burn cycle on\\u2026 https://t.co/hZWsY4iJKm'",,"Toronto, Ontario"
b'My bf deserves the world because he comes to my basketball games and tries to give me a wine to the Barrington Levy\\u2026 https://t.co/enbs8upIhh',,"Toronto, Ontario"
b'When my loud loud friends come to my playoff game Thursday &gt;&gt;&gt;',,"Toronto, Ontario"
"b""I'm waiting still :( \\n\\nThey have to make the rankings after last night's game https://t.co/D0crdjhEt0""",,"Toronto, Ontario"
b'We won our game 60-30 last night.\\n\\nI had 11 of those points. I participate dammit',,"Toronto, Ontario"
"b'@jm_mcgrath Even if you succeed, you still run the risk of a very early morning. There is no winning.'",,"Toronto, Ontario"
"b""Watching @EdmontonOilers vs @NHLBruins, start of 2nd Q, and they're playing firestarter by prodigy... odd thing to play at a hockey game""",,"Toronto, Ontario"
b'Cheerleaders dancing in the snow #GREYCUP',GREYCUP,"Toronto, Ontario"
b'If @KevinSpacey is a rapist then so is all the middle aged women that slap men\\u2019s ass at the club or the women that\\u2026 https://t.co/eZ18P56OYM',,"Toronto, Ontario"
b'Nodding to the other white guy that lives in my condo building as we pass in the lobby',,"Toronto, Ontario"
"b""Thanks again to @3030DundasWest &amp; @BigRigBrewery for hosting this weekend's 100+ runners!\\n\\nWe're\\u2026 https://t.co/XWKVCSH9pJ""",,"Toronto, Ontario"
b'Physiologists will be studying the effect of this americano on my sleep-deprived colon for years.',,"Toronto, Ontario"
"b""It's #SmallBusinessSaturday &amp; making connections with others and changing their lives with our kombucha is an amazi\\u2026 https://t.co/1MFR8UGn17""",SmallBusinessSaturday,"Toronto, Ontario"
"b""Glad that Toronto didn't offer anything other than the benefits every business gets for being here.\\nCities: stop pi\\u2026 https://t.co/EFgd3Nup4Z""",,"Toronto, Ontario"
"b'love is love , always respect ones that help others \\u201c.'",,"Toronto, Ontario"
b'Finally starting to gain weight \\U0001f62d\\U0001f64c\\U0001f3fd time to get back in the gym n tone up now! https://t.co/aba41hbvRc',,"Toronto, Ontario"
"b""REGGAE NIGHT we dancing' till a morning light @ItaLrOOtsRaDio #np @morganheritage ft. Chubb Rock, @Stylog Timaya, @BUNJIGARLIN #Reggae""","np,Reggae","Toronto, Ontario"
"b'Heading to my gym for the first time in a while (not traveling, big event I\\u2019ve been planning is done) - god I hope\\u2026 https://t.co/gFZklbMq5B'",,"Toronto, Ontario"
"b""my stories aren't to be told by other people so please respect my goddamn privacy. Sorry I don't want everyone knowing my life.""",,"Toronto, Ontario"
"b'@DalaiLama Compassion for others, our planet and ourselves  and our animals would and do m are the world better .Let\\u2019s do it.'",,"Toronto, Ontario"
b'Nicola Lau of the Seneca Student Federation explains why college students are rallying at Queens Park today.\\u2026 https://t.co/HQfwvqDuk4',,"Toronto, Ontario"
"b'For Toronto FC, the mental game is key to reaching MLS final /via @globeandmail https://t.co/FY5zeMXnwD'",,"Toronto, Ontario"
"b""This flu has been absolutely terrible... Not to say that others aren't.""",,"Toronto, Ontario"
b'Lol Drake getting his drink right for the game! | \\U0001f37a\\U0001f943: #drake #toronto #torontoraptors #raptors\\u2026 https://t.co/Lm9ugfqeVu',"drake,toronto,torontoraptors,raptors","Toronto, Ontario"
b'.@nhl cancel hockey plz',,"Toronto, Ontario"
b'The @DSBClaims team is running on Jet Fuel today #customerservice @ Jet Fuel Coffee Shop https://t.co/yL6P8nzNxD',customerservice,"Toronto, Ontario"
b'@RibosomeChomsky tenure-track professor who is quickly discovering that life is ultimately meaningless.',,"Toronto, Ontario"
"b'Through meditation, yoga, thankfulness &amp; ""ridiculous optimism"" etc, I uncover &amp; discover my true self. Creativity,\\u2026 https://t.co/x00NNG9O0v'",,"Toronto, Ontario"
b'@barttels2 This would be crappy fiction. Seen at the gym today.',,"Toronto, Ontario"
"b'At the #intrapreneurship conference, @RASumner just had us take selfies and observe each other doing so as an empat\\u2026 https://t.co/F4NzyRECUH'",intrapreneurship,"Toronto, Ontario"
b'Ironies of life: dude with yoga mat on streetcar bitching to himself about slowness of transit. Must need that Yago session',,"Toronto, Ontario"
b'#Monsaymotivation: Rise &amp; grind Mistura Beauties \\U0001f4aa! Keep our Essential Kit\\u2122 in your gym bag for quick post-workout\\u2026 https://t.co/fsmTs9tlTI',Monsaymotivation,"Toronto, Ontario"
b'Police recovered 50 of 3700 stolen bikes last year. Rememeber that they only caught Igor Kenk by accident. TPS shou\\u2026 https://t.co/xTxIzDAcqn',,"Toronto, Ontario"
"b""You know it's fiction when she invites all the men she's fucking over &amp; they have a dance party""",,"Toronto, Ontario"
b'Shoutout to @TorinoEvolve I hope you have a safe journey today to your appointment and I hope everything workouts for you',,"Toronto, Ontario"
b'What kind of sick omen is it for your pen to run out of ink right before you take an exam',,"Toronto, Ontario"
"b'Sometimes, a fun night involves a game of #Battleship, hazelnut #hotchocolate and #quesidilla\\u2026 https://t.co/B0gYgdxn0W'","Battleship,hotchocolate,quesidilla","Toronto, Ontario"
b'Dream photo. A random accidental pic. I like it. #random #photography #hotpink @ Tara Greene\\u2026 https://t.co/pzbQSpOwPy',"random,photography,hotpink","Toronto, Ontario"
b'@TheDeanBruce @RuPaul @Reed_College_ @_AngelaLansbury Wait...did RuPaul do the dance that Jessica does by the jukeb\\u2026 https://t.co/8h7odYtdWP',,"Toronto, Ontario"
b'I\\u2019ll bet all my money that some grey-haired dingus left Votto off the ballot entirely because he played for a bad team.',,"Toronto, Ontario"
b'@PainDontHurt_ @BleacherReport Because the hitch hikers came to him \\U0001f602',,"Toronto, Ontario"
"b'Bottom line. One way or the other, the students are going back next week. The two sides, according to reports, just\\u2026 https://t.co/ngp5aRBJHg'",,"Toronto, Ontario"
b'Can\\u2019t fight the moonlight club remix playing at this coffee shop and I\\u2019ll be damned if I don\\u2019t sing along and make Jersey proud.',,"Toronto, Ontario"
b'Eastbound train on line 2 at Yonge Stn just left the station before all the exiting passengers had left the train.\\u2026 https://t.co/uYzAZduLgS',,"Toronto, Ontario"
b'hi! Did you leave a back purse on an eastbound train around 6 pm tonight? I left it with the fare collector at High\\u2026 https://t.co/Xosaw3TlZK',,"Toronto, Ontario"
b'At the swingers club was the first time I seen DP ...... \\n\\nNever seen a woman happier. Tbh.',,"Toronto, Ontario"
"b""For her husband's birthday a lady blindfolded him and had all the women at the club basically run a train on him.""",,"Toronto, Ontario"
b'One time an ex came to hang out at the swingers club and decided to get bright and tell me one lady had nice boobli\\u2026 https://t.co/eyGXlZ7IkN',,"Toronto, Ontario"
b'One time I seen a GROUP of people topple off a stack of speakers they were dancing on - as I went to break up the f\\u2026 https://t.co/5UVynRt4aw',,"Toronto, Ontario"
b'I use to referee flag football.\\nOne time a team was INCREDIBLY mean to me calling me bad names etc.\\nMonths later sa\\u2026 https://t.co/AvOcJvhp19',,"Toronto, Ontario"
"b'@Depo_ @GTM618 @agravel15 Nice, I hope gamers continue to support EVE. Did you hear, the developer is getting out o\\u2026 https://t.co/5QtlLLP5Vk'",,"Toronto, Ontario"
b'@CorySchell @Jackstar009 That\\u2019s how banks and investment companies work. Oddly they aren\\u2019t all run or owned by Liberals.',,"Toronto, Ontario"
"b'Can you imagine product placement in a Star Wars movie, though? Like Luke just randomly grabs a coke-a-cola from his food synthesizer.'",,"Toronto, Ontario"
b'@putUincespence They tend to have the person eliminated on night 1 of a 4-couple finale do their freestyle first',,"Toronto, Ontario"
"b'no one understands my depression better than @claireaitkens, we love walking depictions of untreated mental illness dont we ladies'",,"Toronto, Ontario"
b'On our way to @MidtownGastro in Toronto to catch the second half of this Arsenal game &amp; maybe make some friends \\U0001f602',,"Toronto, Ontario"
b'You can get the #Lions at (+400) to win this game. Now is the time to buy \\U0001f4c8 #DETvsMIN',"Lions,DETvsMIN","Toronto, Ontario"
b'We started yoga today with Cyndi @tdsb_paulinejr #YoungYogisToronto #mindfullness #wellness #TDSB https://t.co/FupMi7sOhW',"YoungYogisToronto,mindfullness,wellness,TDSB","Toronto, Ontario"
b'Pre workout breakfast https://t.co/ZBmqeM8MdH',,"Toronto, Ontario"
"b'Need suggestions: I\\u2019m looking for a dope gym bag for a male friend of mine. Something cool, a little different, but\\u2026 https://t.co/0bfw7SXiEu'",,"Toronto, Ontario"
b'Hasn\\u2019t been as good as last year but probably still about as good as most other 3rd pair guys in the league. Young\\u2026 https://t.co/BS0XbWq3N9',,"Toronto, Ontario"
b'Someone be proud of me I\\ufe0fm finally approving in the gym \\U0001f62d',,"Toronto, Ontario"
"b'Someone be proud of me, I\\ufe0f am finally improving at the gym \\U0001f62d'",,"Toronto, Ontario"
b'At the gym. Still not a fan.',,"Toronto, Ontario"
"b'Shout out to @drose still remember when I ran into you in New York, dont ever forget your an MVP, people only want\\u2026 https://t.co/HPYNERIuqk'",,"Toronto, Ontario"
b'@MehrTarar True but at the same one should also consider other ppl who believe in the same way. Dont u think we sho\\u2026 https://t.co/888TZDaSjd',,"Toronto, Ontario"
b'Ivanka: I hear your duties are shrinking. \\nJared: I was in the pool! I was in the pool! https://t.co/bD0h6JUFUO',,"Toronto, Ontario"
b'Seminal read on urban planning in my undergrad. Thanks for sharing your wisdom. #RIP #CityPlanning #Urbanism https://t.co/1je7IeRIgd',"RIP,CityPlanning,Urbanism","Toronto, Ontario"
b'@tofuIeader JJDKAKFAKDKK ur rly the only other one so thanks mr mvp king',,"Toronto, Ontario"
"b""This garbage is why CW hasn't issued a statement about the accusations of assault against one of their show runners\\u2026 https://t.co/dtIZ7ux4Yn""",,"Toronto, Ontario"
b'#KingStreetPilot how long does pilot run for \\U0001f68a@ttcriders @SwanBoatSteve ?',KingStreetPilot,"Toronto, Ontario"
b'@FrankMargani Yuppp! Let\\u2019s run into each other at a game soon \\U0001f61d',,"Toronto, Ontario"
"b'A guy at my gym looks like he has been sculpted out of marble. His complexion so dazzling, he looked like an angel.\\u2026 https://t.co/fYIclfzYgz'",,"Toronto, Ontario"
b'African parents are walking headaches',,"Toronto, Ontario"
