text,hashtags,placename,"Sit == True  (1), else (0)","Relevant == True (1), else (0)"
b'Trying to decide between watching #Whitecaps or Game 5 of the #WorldSeries... I need another TV for my living room. #sportsnight',"Whitecaps,WorldSeries,sportsnight","Coquitlam, British Columbia",1,1
"b'I hear so many, shit u not, so many say that, then watch them say someone was a waste of time, or they fell out. Ac\\u2026 https://t.co/SklWPx0Yoc'",,"Toronto, Ontario",0,0
b'Maybe they should set the ball on fire to make this more watchable. #VANvSEA',VANvSEA,"Milton, Ontario",1,1
b'Deeks to Kensi seeing Callen go by with a kid. Is it bring a kid to work day. Lol. #NCISLA',NCISLA,"Kitchener, Ontario",0,0
b'Has a defending Stanley Cup champion ever lost 3 games by at least 6 goals in the first month of the following season?',,"Ottawa, Ontario",0,0
b'@Harvard @UniofOxford @Yale @UHouston @mcgillu 1 yr working on PH.D #ClimateChange Activists Murdered in Foreign Co\\u2026 https://t.co/oKMyem1ehE',ClimateChange,"Montr̩al, Qu̩bec",0,0
b'We are very proud of this group of Life Changers! They put in some serious work tonight!\\u2026 https://t.co/3eJc5T3kOe',,"Yellowknife, Northwest Territories",0,0
b'@markthamonk I felt vicarious pain watching this',,"Halifax, Nova Scotia",1,0
"b'Every time I\\u2019m at a community event, he is there. A great man working his butt off!!! Thanks @PierrePoilievre https://t.co/sl6xEapNaL'",,"Ottawa, Ontario",0,0
b'#KingsCupII #OnePlus It\\u2019s tough watching and playing at the same time \\U0001f633 I\\u2019m obsessed!',"KingsCupII,OnePlus","Toronto, Ontario",,
b'I don\\u2019t like my job that much but I love the people I work with they are some of the greatest people ever',,"Clarington, Ontario",,
b'Gonna watch Dracula dead and loving it for the first time.',,"Calgary, Alberta",,
"b'Nice work, Barnesy!!!!'",,"Calgary, Alberta",0,0
b'@cathmckenna Keep up great work minister. Dont always agree with you but always respect you and think others should do same. Oh go sens go.',,"Frenchman's Cove, Newfoundland and Labrador",0,0
"b'@jenrauls @Kris_Sacrebleu @thismamatweets Yes,it is Thought it might be good but not this good. Nicol Williamson is chilling'",,"Quispamsis, New Brunswick",0,0
"b""Being spotted by a tennis #friend I haven't seen for a year WHILE I watch the sunset on Robson\\u2026 https://t.co/yeSORcF40s""",friend,"Vancouver, British Columbia",0,0
"b'Kitchener tops Guelph 4-1, Logan Stanley with a goal, has a 3 game pt streak going after going 4 games without one. #GoJetsGo #OHL'","GoJetsGo,OHL","Montr̩al, Qu̩bec",0,0
"b'I sometimes feel like the only person left who thinks comic book movies are terrible. None of these movies are good, what am I missing? \\U0001f937\\u200d\\u2642\\ufe0f'",,"Kitchener, Ontario",0,0
b'Nicely toasted. Feeling like a big old pat of butter melting on a stack of flapjacks. Gonna watch SATC 1. https://t.co/nJFTe7VMkN',,"Winnipeg, Manitoba",1,1
b'#UFC217 I am how you say... super pumped to watch these fights #StrangerThings2 #RoseNamajunas https://t.co/d7aNlTcT4Z',"UFC217,StrangerThings2,RoseNamajunas","Oakville, Ontario",1,1
b'Feels like a dream working at the NAC \\U0001f60d can\\u2019t wait to get this life train going!! \\U0001f689',,"Pontiac, Qu̩bec",0,0
"b""Oh my! My #XboxOneX is coming from @XboxCanada today! Can't wait to play my favorite games in #4K! @xbox #Review https://t.co/7M5o1QxwXt""","XboxOneX,4K,Review","Chatham-Kent, Ontario",1,1
"b""If you're looking for work in #Shelburne, ON, check out this #job: https://t.co/Hg2V0PkT5B #Finance #Hiring #CareerArc""","Shelburne,job,Finance,Hiring,CareerArc","Mono, Ontario",0,0
b'We watched Bon Cop Bad Cop 2 last night and it was amazing. They trash on everyone.',,"St. Catharines, Ontario",1,1
b'Our sisterskeeperto U14 girls putting in work great job girls \\U0001f44d\\u26f9\\U0001f3fb\\u200d\\u2640\\ufe0f\\U0001f44c\\U0001f3c0\\U0001f44a\\U0001f44f\\U0001f1e8\\U0001f1e6@shehoopsnetwork\\u2026 https://t.co/0fUDpPWNvg',,"Toronto, Ontario",0,0
"b'Want to work in #Mississauga, ON? View our latest opening: https://t.co/Oobx5nmT8W #Veterans #CareerArc'","Mississauga,Veterans,CareerArc","Mississauga, Ontario",0,0
b'@DarrenWHaynes using Brouwer on the power play has never worked well for the Flames. Is it possible PP time is part of his contract?',,"Calgary, Alberta",0,0
"b""Want to work at HMSHost? We're #hiring in #Newcastle, ON! Click for details: https://t.co/LuEViyHtiy #Hospitality #Job #Jobs #CareerArc""","hiring,Newcastle,Hospitality,Job,Jobs,CareerArc","Clarington, Ontario",0,0
"b'FINAL DAY! And, #Friday! Sooo, come on, work?! Pfft. Listen to The Drive &amp; qualify -&gt; https://t.co/LasbX4B6wW -Scot\\u2026 https://t.co/XhVZlYwqsx'",Friday,"Winnipeg, Manitoba",0,0
b'TGIF!.. But im working tomorrow anyways \\U0001f605',,"Toronto, Ontario",0,0
b'Incarceration Histories and critiques panel @socscihist @CSiWproject richness through comparative work https://t.co/3zEbUoTfV4',,"Montr̩al, Qu̩bec",0,0
"b'@CaolanRob How many #AltRight people did you help radicalize while working for #Rebel do you think, Caolan? Thoughts? #cdnpoli'","AltRight,Rebel,cdnpoli","Fredericton, New Brunswick",0,0
b'Jessica\\u2019s story struck a chord w/ me as does @garymasonglobe\\u2019s column. Living in #Kamloops it\\u2019s unreal to watch the\\u2026 https://t.co/g3aj15e7YS',Kamloops,"Kamloops, British Columbia",0,0
b'Either suspend @EzekielElliott 6 games or let him play the rest of the season. Stop with the back &amp,forth nonsense for everyone\\u2019s sake!',"London, Ontario",0,0
"b""Some of the amazing work made during this week's #CAMH workshop led by sarvenaz of\\u2026 https://t.co/WxAcfVGUba""",CAMH,"Toronto, Ontario",0,0
"b""Want to work at General Electric? We're #hiring in #Burnaby, BC! Click for details: https://t.co/L4tVJ81CC6 #IT #Job #Jobs #CareerArc""","hiring,Burnaby,IT,Job,Jobs,CareerArc","Burnaby, British Columbia",0,0
"b""If you're looking for work in #Windsor, ON, check out this #job: https://t.co/NB0DsNYtBj #Retail #Veterans #Hiring""","Windsor,job,Retail,Veterans,Hiring","Windsor, Ontario",0,0
"b'I watch The Ace Family, Roman Atwood, wolfie, faze banks &amp; Alissa Violet, Chantal Jefferies, Sylvia Gani, the whole\\u2026 https://t.co/DmGDsJsjXH'",,"Ottawa, Ontario",0,0
b'She made quick work of the light snow! #tfaulks #snowremoval\\u2026 https://t.co/MONwg7FceP',"tfaulks,snowremoval","Strathcona County, Alberta",0,0
b'Loitering works:) I just had yo pour some to feel ready https://t.co/rK9vRFBHzg',,"Prince Edward County, Ontario",0,0
"b""lrt ldk if i'm okay after watching this video o&lt;\\u2014&lt;""",,"Toronto, Ontario",1,1
b'Late night of work means late night pick up at Santa Ana Pizzeria &amp,Bistro. Happy to support Debbie from St. Norber\\u2026 https://t.co/PWoMjxExvT',Santa Ana Pizzeria,1,1
b'Oh my @goliathtv just watch the second episode and I am hooked',,"Toronto, Ontario",1,1
"b'I watch The Ace Family, Roman Atwood, wolfie, Ryan Swaze, faze banks &amp; Alissa Violet, Chantal Jefferies, Sylvia Gan\\u2026 https://t.co/AiUynK8HGm'",,"Ottawa, Ontario",0,0
b'@snooki we have dill pickle chicken wings at my work come to Canada!!!',,"Burnaby, British Columbia",0,0
"b'@DrKatinaPollock @KNAER_RECRAE Katina, Great that you are working across provinces &amp; nationally to advance\\u2026 https://t.co/JWv7LwyF3P'",,"Richmond Hill, Ontario",0,0
b'Tough for me to watch @RicFlairNatrBoy 30 for 30.\\nPartly because I have so much respect for what the man has accomp\\u2026 https://t.co/bDbPp9s8fq',,"Pickering, Ontario",1,1
b'Tough for me to watch @RicFlairNatrBoy 30 for 30.\\nPartly because I have so much respect for what the man has accomp\\u2026 https://t.co/bDbPp9s8fq',,"Pickering, Ontario",1,1
b'I watch https://t.co/k9cNU9n9Yn',,"Brooks, Alberta",0,0
"b'No Sam, no Jason(s) and I still watch 95% of today\\u2019s show. I\\u2019m only FFing Liz/Franco cause of Liz and Ava/Griffin c\\u2026 https://t.co/3l9pTPXWtv'",,"Clarington, Ontario",1,1
b'I\\u2019m definitely not watching for a scoring play now',,"Airdrie, Alberta",0,1
"b'come watch teddy show me games I wasn\'t allowed to play as a child because my dad said ""no"" https://t.co/h6RpODKLVx'",,"Montr̩al, Qu̩bec",1,1
"b'Want to work in #Abbotsford, BC? View our latest opening: https://t.co/un0EHqJtek #Retail #Job #Jobs #Hiring #CareerArc'","Abbotsford,Retail,Job,Jobs,Hiring,CareerArc","Abbotsford, British Columbia",0,0
b'Frank Sinatra music loud asf is chill',,"Toronto, Ontario",0,0
"b""Want to work at UPS? We're #hiring in #Mississauga, ON! Click for details: https://t.co/U9UNjtqCUF #Labor #Job #Jobs #CareerArc""","hiring,Mississauga,Labor,Job,Jobs,CareerArc","Mississauga, Ontario",0,0
b'At the @TourismHRCanada board meeting today in #Ottawa with labour market partners.\\n\\n@ATAC_Corporate working to imp\\u2026 https://t.co/oaxOaL20I2',Ottawa,"Ottawa, Ontario",0,0
b'@RansNVR did you watch dancing fountain?\\U0001f60a',,"Mississauga, Ontario",0,0
"b'Want to work in #Edmonton, AB? View our latest opening: https://t.co/fWdgki4hks #Hospitality #Job #Jobs #Hiring #CareerArc'","Edmonton,Hospitality,Job,Jobs,Hiring,CareerArc","Edmonton, Alberta",0,0
"b""@iheartmuseums Glad to hear so many good things about this one, it's very high up my watch list.""",,"Vancouver, British Columbia",0,0
"b""So proud of our #QAIS schools for their hard work and involvement in the 'Olympes de la parole' academic competitio\\u2026 https://t.co/jQZms2eRek""",QAIS,"Montr̩al, Qu̩bec",0,0
"b""Employee Engagement is about centered work. Don't lose yourself rather give yourself fully to your work. As J. J. G\\u2026 https://t.co/v9U2FIkE7f""",,"Winnipeg, Manitoba",0,0
b'guys it\\u2019s cool if youd on\\u2019t want to see the movie but some of us just want to drink scotch and watch jason momoa throw a trident in peace',,"Toronto, Ontario",0,0
"b'@AlexGelhar Just let mckinnon get the work please, hes the better back'",,"Mission, British Columbia",0,0
"b""Excited to show off my new @Onefurallstudio's fursuit soon at MFF and showing off a related project I have been working on for over a year.""",,"North Vancouver, British Columbia",0,0
b'@sharedmaclean Hi Sharon! Trying to use code and not working. Is/was there a time limit?',,"Edmonton, Alberta",1,1
"b'@cityoforillia I work overseas and don\\u2019t get to see local advertising and there is no signage on the street, should\\u2026 https://t.co/MO3sA1Wu6v'",,"Orillia, Ontario",0,0
"b'""Went For A Ride"" video is live! Give it a watch, link in bio. \\n\\u2022\\n\\u2022\\nOn an unrelated note, here\'s\\u2026 https://t.co/hjZXM1bxbS'",,"Bulkley-Nechako D, British Columbia",0,0
b'@marktucker20 A person that does on camera work in this case.',,"Toronto, Ontario",0,0
"b'Fact fluency makes me think of worksheets and drill and kill. Have fun with numbers, learn to count, play games inv\\u2026 https://t.co/1iZIRcEwQ0'",,"Pointe-Claire, Qu̩bec",0,0
"b'Want to work in #Cambridge, ON? View our latest opening: https://t.co/7n497m7t9M #Retail #Job #Jobs #Hiring #CareerArc'","Cambridge,Retail,Job,Jobs,Hiring,CareerArc","Cambridge, Ontario",0,0
"b'Great coffee chat today @mattwiebeMB, thanks for your work and time! #Winnipeg #Concordia #coffee'","Winnipeg,Concordia,coffee",Starbucks,1,1
"b""@IlaDem16 @democrat2theend I've watched Thwack countless of times. lmao""",,"Kamloops, British Columbia",0,0
"b""Attorney to ex-Twitter worker who deactivated Trump account: 'Get a lawyer' https://t.co/lM91uwDPWB""",,"Toronto, Ontario",0,0
b'Michael Murphy on how companies can build a dynamic digital workspace https://t.co/9bGcmEpxBz via @GlobeandMail https://t.co/HsqEdmaSjc',,"Toronto, Ontario",0,0
"b""If you're looking for work in #Halifax, NS, check out this #job: https://t.co/ODUeyXRRTS #Transportation #Hiring #CareerArc""","Halifax,job,Transportation,Hiring,CareerArc","Halifax, Nova Scotia",0,0
b'I live for the moments I can tweet @beyondwallsTPM at work. #twitterroyalty #socialmediaprofesh https://t.co/mo5IeOFxwx',"twitterroyalty,socialmediaprofesh","Niagara-on-the-Lake, Ontario",0,0
b'Stream the workshop live now at https://t.co/9c99BpcHoy #takingstock2017 https://t.co/h3FL7w1eTj',takingstock2017,"Ottawa, Ontario",0,0
"b'Want to work in #Qu\\xe9becCity, QC? View our latest opening: https://t.co/Wg8CnlQe0H #Retail #Veterans #Job #Jobs #Hiring #CareerArc'","Qu̩becCity,Retail,Veterans,Job,Jobs,Hiring,CareerArc","Qu̩bec, Canada",0,0
"b'Want to work in #Mississauga, ON? View our latest opening: https://t.co/H8HejKYYw8 #Clerical #Job #Jobs #Hiring #CareerArc'","Mississauga,Clerical,Job,Jobs,Hiring,CareerArc","Mississauga, Ontario",0,0
b'Most of the times I am just rehydrating meals in the backwoods but working on something that I\\u2026 https://t.co/4EdK6RJDTo',,"Ottawa, Ontario",0,0
b'\\U0001f601It\\u2019s going to be fun watching it all unravel \\U0001f37f https://t.co/IyvWXX6RQu',,"Calgary, Alberta",0,0
b'Great work #slc #students for keeping on. #ygk #endthestrike',"slc,students,ygk,endthestrike","Kingston, Ontario",0,0
b'At the show .@ITS_America in #Montreal? Stop by the #UK pavilion 709 &amp,find out how you can benefit from our work i\\u2026 https://t.co/4itwqYhGf2',"Montreal,UK",0,0
b'Remember when neighbourhood watch signs made people feel safe? I miss that...',,"Guelph, Ontario",0,0
"b'Want to work in #NorthBay, ON? View our latest opening: https://t.co/VOVbwqkV5b #CommunityCare #RN #Job #Jobs #Hiring'","NorthBay,CommunityCare,RN,Job,Jobs,Hiring","North Bay, Ontario",0,0
"b""Dear Idiot Neighbour:\\nHammer &amp; drill won't work on cinderblock &amp; you've been trying all week- You need a hammerdrill, it's 1 fucking tool...""",,"Ottawa, Ontario",0,0
b'@Sim_Langlois Ya I walked into my EB games launch day and saw shelves of them. And this was around 6 PM.',,"Windsor, Ontario",0,1
b'#ChebukatiBurnsKenya Kiems kits which failed to work?? We are not fools mr. @WChebukati Nkt!',ChebukatiBurnsKenya,"Montr̩al, Qu̩bec",0,0
b'awww Finally the time to get out of the bed... But very chilly T_T https://t.co/V7tEJD5Dpb',,"Toronto, Ontario",0,1
b'Lots of work being done in preparation for #WildcubDay2017 #GreatDayAhead \\U0001f42f\\U0001f4d7\\U0001f4d2\\U0001f43e@StJamesRCCDSB @StMikesRCCDSB\\u2026 https://t.co/96ue9JkOiD',"WildcubDay2017,GreatDayAhead","Admaston/Bromley, Ontario",0,0
b'Great work @NYMartha! https://t.co/ABwBMkveoF',,"Montr̩al, Qu̩bec",0,0
"b""If you're looking for work in #Montreal, QC, check out this #job: https://t.co/Xs8xz2WFGJ #Engineering #Hiring #CareerArc""","Montreal,job,Engineering,Hiring,CareerArc","Montr̩al, Qu̩bec",0,0
"b'Come on out and watch some football with us. Prizes up for grabs, and a chance to watch the #Riders make history as\\u2026 https://t.co/pDUvmd6V7d'",Riders,"Regina, Saskatchewan",0,0
"b""Want to work at Goldcorp? We're #hiring in #RouynNoranda, Quebec! Click for details: https://t.co/ks3qtefS6i #mining #GeneralScience #Job""","hiring,RouynNoranda,mining,GeneralScience,Job","Rouyn-Noranda, Qu̩bec",0,0
"b'Want to work in #PlumCoulee, MB? View our latest opening: https://t.co/zUcPLJupYp #Labor #Job #Jobs #Hiring'","PlumCoulee,Labor,Job,Jobs,Hiring","Plum Coulee, Manitoba",0,0
"b'Fish and chips to go with the beers at dublincallingvan. Now open with arcade games, pool, and\\u2026 https://t.co/DIq2uBlaxM'",,"Vancouver, British Columbia",0,0
"b""If you're looking for work in #Toronto, ON, check out this #job: https://t.co/eq1uNgrY1N #Hospitality #Hiring #CareerArc""","Toronto,job,Hospitality,Hiring,CareerArc","Toronto, Ontario",0,0
"b""What am I doing? Just settling in to watch Justice League a couple days before it opens.\\n\\n How's about you?\\n\\n#fb""",fb,"Waterloo, Ontario",1,1
b'Our casts have their March 2018 opera role assignments! Hope you\\u2019ll stay tuned as we work towards another exciting\\u2026 https://t.co/Dnfx16EgIf',,"Waterloo, Ontario",0,0
"b'Want to work in #Calgary, AB? View our latest opening: https://t.co/wTaW7QPfa4 #CustomerService #Job #Jobs #Hiring #CareerArc'","Calgary,CustomerService,Job,Jobs,Hiring,CareerArc","Calgary, Alberta",0,0
"b'I live here, I work and thrive here. Your purchase of real estate requires local kowledge.\\nI know the places you ma\\u2026 https://t.co/FmvtHH8hsw'",,"Toronto, Ontario",0,0
b'@frasersimons When is it coming out so I can not watch it?',,"Ottawa, Ontario",0,0
b'Watching all these Hallmark Christmas movies really makes me think I could write something so cheesy that it\\u2019s actu\\u2026 https://t.co/sIxC4d2Ryp',,"Hamilton, Ontario",1,1
b'Our casts have their March 2018 opera role assignments! Hope you\\u2019ll stay tuned as we work towards another exciting\\u2026 https://t.co/9RINORopba',,"Waterloo, Ontario",0,0
"b""Shit man I'm watching them for free right now https://t.co/8kJoeHimZo""",,"Ottawa, Ontario",1,1
b'### but freal like. tf momma think like.. I couldnt buy the block..?? we could make yall disappear.. Yall REALLY finna work still..??',,"Brampton, Ontario",0,0
b'@garyvee why #Alexa over #googlehome as a personal assistant ? I\\u2019ve been watching videos for 3 hours Now and still\\u2026 https://t.co/x0xuMoURkD',"Alexa,googlehome","Halton, Ontario",1,1
"b""If you ever wonder what I'm doing at 3am I'm probably watching clips of The Voice on YouTube.""",,"Toronto, Ontario",1,1
"b'If @WhitecapsFC won, no one would have cared about tactics. But result is 0 goals in 2 games against biggest rival. Criticism is deserved.'",,"North Vancouver, British Columbia",0,0
b'@jobpostingsca Keep it up to helping people. Appreciated work. Our client in the #Mississauga Area is looking for\\u2026 https://t.co/83LYaYJUaP',Mississauga,"Mississauga, Ontario",0,0
b'If Jesus or Tara die I\\u2019ll not watch this anymore. #thewalkingdead',thewalkingdead,"St. Catharines, Ontario",1,1
b'@Harvard @UniofOxford @Yale @UHouston @mcgillu 1 year working on PH.D #ClimateChange Eat Insects Not Beef ruined. I\\u2026 https://t.co/Sie36hjJFE',ClimateChange,"Montr̩al, Qu̩bec",0,0
b'i wanna watch the gem anime',,"Nanaimo, British Columbia",1,1
"b""Listening to Buck Martinez and watching Brandon Morrow pitch is the closest I've been to seeing the Jays in the World Series""",,"Whitby, Ontario",0,0
"b""This is from last Friday. My last workout from I don't even want to say how it's been I didn't\\u2026 https://t.co/JfTzJTuzjr""",,"Vancouver, British Columbia",0,0
b'Put those boys to work...sellin licker! #outlanderCAN #StartingAgain https://t.co/WVZ49gBnqn',"outlanderCAN,StartingAgain","Edmonton, Alberta",0,0
b'My pumpkin for the contest at work... #pumpkincarving #halloween #westin #marriott #funatwork\\u2026 https://t.co/9RvQ4z26uj',"pumpkincarving,halloween,westin,marriott,funatwork","Toronto, Ontario",0,0
b'Tonight\\u2019s Star Trek Discovery\\u2026 I feel like I\\u2019ve watched this already \\u2026',,"Edmonton, Alberta",1,1
"b'@DShulman_ESPN A fine beard battle indeed Dan, fine observation. We watch these two all the time, but listening to it on air, added colour.'",,"Richmond Hill, Ontario",0,0
b'@JoNicoleH Still working on being able to grip a pencil after a workout. \\U0001f635',,"Edmonton, Alberta",0,0
b'I unfollowed a girl I grew up w bc I was jelly she worked at sephora but I could do better looks and it turns out s\\u2026 https://t.co/0E2pozc3jv',,"London, Ontario",0,0
"b""If you're looking for work in #Ottawa, ON, check out this #job: https://t.co/hZgwPSWHVP #CustomerService #Hiring #CareerArc""","Ottawa,job,CustomerService,Hiring,CareerArc","Ottawa, Ontario",0,0
b'Popcorn and movies for the night',,"Harbour Grace, Newfoundland and Labrador",1,1
b'Thanks to the work of researchers in the social sciences &amp,humanities we have a deeper understanding of the world w\\u2026 https://t.co/jFNtlLOB2U',"Ottawa, Ontario",0,0
"b""Want to work at TJX Canada? We're #hiring in #Nepean, ON! Click for details: https://t.co/uEsTG5pGJT #Retail #Job #Jobs #CareerArc""","hiring,Nepean,Retail,Job,Jobs,CareerArc","Ottawa, Ontario",0,0
"b'So you\\u2019re not in the music video? You were there what, just chilling? Hmm okay sure same.'",,"Vaughan, Ontario",0,0
b'I could be halfway done my workout right now if I went to the gym when I was supposed to.',,"Toronto, Ontario",0,0
"b""Want to work at Starbucks? We're #hiring in #Toronto, ON! Click for details: https://t.co/jtGXUncg3V #CustomerService #Job #Jobs""","hiring,Toronto,CustomerService,Job,Jobs","Toronto, Ontario",0,0
b'This is insanely exciting to watch. Makes for sweaty palms. Wow!!! #HamOnt https://t.co/e5gj6UF3ue',HamOnt,"Hamilton, Ontario",1,1
"b""Want to work at Trump Hotels? We're #hiring in #Vancouver, BC! Click for details: https://t.co/PznLuY5FRO #security #Job #Jobs""","hiring,Vancouver,security,Job,Jobs","Vancouver, British Columbia",0,0
"b""@heresdylan Is this supposed to make me feel better? Because it's not working.""",,"St. Albert, Alberta",0,0
b'Wow... FaceID still works while I\\u2019m brushing my teeth!',,"Markham, Ontario",0,0
"b'Medicine Hat up 4-, David Quenneville with 2 goals. Has 7 goals, 21 pts in 14 games this year, tied for 2nd in #WHL d-man scoring. #Isles'","WHL,Isles","Montr̩al, Qu̩bec",0,0
"b""@10223335 I don't watch flaky movies.""",,"Whitehorse, Yukon",0,0
b'@emupdates @jonbcole2 @AndyNeill It worked very well today. After I got slugged in the face. Sigh...the patient did\\u2026 https://t.co/K8s0kZGpoM',,"Ottawa, Ontario",0,0
"b""i need to stop lying to myself by saying i'll do homework after work""",,"Halifax, Nova Scotia",1,1
"b'Well, good thing there was a #fence I would be goners.At #vanzoo he was watching his pride ,rotten. https://t.co/6RNRK2Ppv1'","fence,vanzoo","Winnipeg, Manitoba",0,0
"b'Great workout with the homie, turned a bad day at work into a good day with sheer persistence \\U0001f44f\\U0001f3fb\\U0001f44f\\U0001f3fb\\U0001f44f\\U0001f3fb https://t.co/3bWF58ZTwy'",,"Toronto, Ontario",0,0
"b'Portland up 3-1 on Spokane, Kieffer Bellows with 2 goals, has 10 goals in his last 9 games. #Isles #WHL'","Isles,WHL","Montr̩al, Qu̩bec",1,0
"b'Wasalam wa rehma "" happy now after watching CN https://t.co/WxFVqaqt8w'",,"Milton, Ontario",1,1
b'Trying to watch 90 Day Fianc\\xe9 with the FACTS https://t.co/zIbMdG69u3',,"Fort St. John, British Columbia",1,1
b'Retweet if you watched until the end \\n#WorldSeries',WorldSeries,"Yarmouth, Nova Scotia",1,1
"b'@risingaction @Southsiders Still, as a fan, I have more fun at caps games than Canucks. That place is a mausoleum.\\u2026 https://t.co/RkWLC1xqm9'",,"Coquitlam, British Columbia",0,0
b'How did it take me till the 3rd time watching #GreysAnatomy to notice all of the @teganandsara used in their soundtrack.',GreysAnatomy,"Greater Sudbury / Grand Sudbury, Ontario",1,1
"b""If you're looking for work in #Cambridge, Ontario, check out this #job: https://t.co/VfchFKtTRq #gopenskecareers #Driver #Hiring""","Cambridge,job,gopenskecareers,Driver,Hiring","Cambridge, Ontario",0,0
"b'Want to work in #Toronto, ON? View our latest opening: https://t.co/ENFHQze33u #IT #Job #Jobs #Hiring'","Toronto,IT,Job,Jobs,Hiring","Toronto, Ontario",0,0
b'In the #studio with @gregkavanagh this afternoon working on some #original tunes \\U0001f3a4 #studiolife #music #Toronto',"studio,original,studiolife,music,Toronto","Toronto, Ontario",0,0
b'Truly sage advice for the modern day worker: https://t.co/j0hspxBq3d',,"Downtown, Vancouver",0,0
"b'Want to work in #Regina, SK? View our latest opening: https://t.co/8AvaHMrAq6 #Hospitality #Job #Jobs #Hiring #CareerArc'","Regina,Hospitality,Job,Jobs,Hiring,CareerArc","Regina, Saskatchewan",0,0
"b""Maybe the student isn't lazy, maybe the work does.""",,"Toronto, Ontario",0,0
"b'Want to work in #Montreal, QC? View our latest opening: https://t.co/M3kce7rpsS #Pharmaceutical #Job #Jobs #Hiring'","Montreal,Pharmaceutical,Job,Jobs,Hiring","Montr̩al, Qu̩bec",0,0
"b'Beyond facts. If you take a step back and look at us a people, we got a whole lot of work to do. So much SHIT to un\\u2026 https://t.co/fkqu7YoDbP'",,"Toronto, Ontario",0,0
"b""If you're looking for work in #Toronto, ON, check out this #job: https://t.co/Zbd1xCTLZA #CustomerService #Hiring #CareerArc""","Toronto,job,CustomerService,Hiring,CareerArc","Toronto, Ontario",0,0
b'Still unclear how these services can work for (non-pop) musicians. I just don\\u2019t want people listening to my studio\\u2026 https://t.co/LGeaq9Thnq',,"Montr̩al, Qu̩bec",0,0
"b'Just chilling in The Pit, handing out #Halloween treats&amp;water &amp; talking about #Naturopathic services at the Campus\\u2026 https://t.co/fHyWSjFc9D'","Halloween,Naturopathic","Oshawa, Ontario",0,0
b'Why did I wait so long to watch Riverdale? #cantstop',cantstop,"Oshawa, Ontario",1,1
b'These underage girls need to chill tf out smh',,"Toronto, Ontario",0,0
b'Hire an Ethicist!! The job skill that will assist all organizations traverse the future workforce. @ArtificialShane\\u2026 https://t.co/kc7zgCretU',,"Toronto, Ontario",0,0
"b'Also, it\\u2019s been 3 consecutive tough games for Victor Mete. Not the end of the world. Just sayin'",,"Montr̩al, Qu̩bec",1,1
"b""If you're looking for work in #Toronto, ON, check out this #job: https://t.co/QDSuFQ7N3k #Construction #Veterans #Hiring #CareerArc""","Toronto,job,Construction,Veterans,Hiring,CareerArc","Toronto, Ontario",0,0
b'Spotted at @OldNavyCA @StVitalCentre - Seasonal positions available! Shop where you work. See photo for more detai\\u2026 https://t.co/ch6rjkJ26V',,"Winnipeg, Manitoba",0,0
b'Everyone says I hate working 9-5 on Monday .. I\\u2019ll take that any day over 1-930\\u2019s \\U0001f634\\U0001f634',,"Cambridge, Ontario",1,1
